track,artist
Phonograph,Jerry Goldsmith
She Comes Running - 2007 Remaster,Lee Hazlewood
Dizzy,Tommy Roe
When I Fall In Love,Etta Jones
Autumn's Child - Mono,Captain Beefheart & His Magic Band
Climb Ev'ry Mountain,Tony Bennett
First Warning #2,Jerry Goldsmith
Cleo's Mood,Jr. Walker & The All Stars
Cantando,Vicente Fernández
Loddy Lo,Chubby Checker
"Well, I Told You",The Chantels
Hey! Baby,Bruce Channel
El Paso,Marty Robbins
Delia,Harry Belafonte
Billie Baby,Lloyd Price
He Don't Really Love You,The Delfonics
You Send Me,Aretha Franklin
You're Looking Good,Dee Clark
John the Revelator,Harry Belafonte
Heart Love,Albert Ayler
I Love You More And More Every Day,Al Martino
Ninna Nanna per Adulteri - Version 2,Ennio Morricone
Desperado - Intro lenta tensiva,Gianni Ferrio
"Space - Live At The Jazz Workshop, Boston/1967",Gábor Szabó
I Love My Baby,Archie Bell & The Drells
Water,Silver Apples
Close Together,Jimmy Reed
Watch Her Ride,Jefferson Airplane
Oscillations,Silver Apples
Billy the Kid Suite: III. Mexican Dance and Finale,Aaron Copland
The Greatest Love,Dorsey Burnette
Challenge,The Hippy Boys
Ballad Of Two Brothers,Autry Inman
Eso Beso (That Kiss!),Paul Anka
The Death Of Aki,John Barry
Tears,Bobby Vinton
Gee Baby (I'm Sorry),The Three Degrees
The Work Song,Herb Alpert & The Tijuana Brass
(Theme From) Valley Of The Dolls,Dionne Warwick
Dos Gardenias,La Sonora Matancera
Yesterday,La Lupe
So What,Bill Black's Combo
"La Traviata - Opera in three acts (1992 Digital Remaster), Act II: Alfredo! Voi!",Giuseppe Verdi
Electrotherapy from The Caretakers,Elmer Bernstein
Deixa O Menino Brincar,Jorge Ben Jor
What a Girl Can't Do,The Hangmen
Hey-Da-Da-Dow,The Dolphins
Out Of This World,Gerald Wilson Orchestra
"Madama Butterfly (1986 - Remaster), Act I: Vogliatemi bene, un bene piccolino (Pinkerton/Butterfly)",Giacomo Puccini
A Solitude,Denise Levertov
Our Time for Loving,Harry Belafonte
O Diamante Cor de Rosa - Versão remasterizada,Roberto Carlos
Ruby Ann,Marty Robbins
Do Wah Diddy Diddy,Manfred Mann
Flamenco Revolucionario,Chicho Sánchez Ferlosio
Room Full Of Tears,The Drifters
If I Were A Carpenter,Four Tops
Reza,Elvin Jones
Mecca,Gene Pitney
Not So Sweet Martha Lorraine,Country Joe & The Fish
Oye Cómo Va,Tito Puente
Apologize,Ed Ames
Candy,The Astors
Me Deixe em Paz (You Better Move On),Leño
Não Vá Se Perder Por Aí,Os Mutantes
Arietis - Remastered,Freddie Hubbard
"Rapaz da Moda / Quem Te Viu, Quem Te Vê",Peter Thomas
A Praça É Do Povo,Sérgio Ricardo
Tristeza,Orlando Silva
International Danger,Peter Thomas
True Love Goes On And On,Burl Ives
Walkin' Back To Happiness,Helen Shapiro
Cumbiando,Tito Puente
Don't You Care,The Buckinghams
Stronger,The Hippy Boys
Paris In The Spring,Elmer Bernstein
Uncle Meat: Main Title Theme,Frank Zappa
La Dama D'Arago,Joan Manuel Serrat
Lonely Winds,The Drifters
Postcard - 2007 Remaster,The Bonzo Dog Band
'Til,The Angels
"Carmen: Act I - ""Hier die Order!""",Leipzig Radio Symphony Orchestra
Big Boss Man,Elvis Presley
The Sound Of Music - 2007 Remastered Version,The Bonzo Dog Band
Funky Street,Arthur Conley
The Chrome Plated Megaphone Of Destiny,Frank Zappa
Help Me Girl,Eric Burdon & The Animals
Gente,Garoto
I Just Don't Understand,Ann-Margret
Celebrated Walkin' Blues,Taj Mahal
Todo Amor Eu Lhe DareI,Trio Melodia
"In Like Flint: End Titles (Your Zowie Face) - From ""In Like Flint""",Jerry Goldsmith
The Push And Kick,Mark Valentino
Along The Santa Fe Trail,Clint Eastwood
La Vie En Rose,Elmer Bernstein
Nearer To You,Betty Harris
Fe de Vida,Joan Manuel Serrat
Show Business,Lou Rawls
Life,Sly & The Family Stone
He'll Have To Go,Solomon Burke
Bandit Of My Dreams,Eddie Hodges
The trio - Il triello,Ennio Morricone
He Knows I Love Him Too Much,The Paris Sisters
Tango per un pianista virtuoso,Giampiero Boneschi
Grazing In The Grass,The Friends Of Distinction
House Of The Rising Sun,The Animals
Here Rattler Here,Harry Belafonte
Where Do You Go,Cher
Gee,Jan & Dean
"La fille du régiment / Act 2: C'en est donc fait, en mon sort va changer",Gaetano Donizetti
Warmed Over Kisses (Left Over Love),Brian Hyland
Part Two,Frank Zappa
"Sit Down, I Think I Love You",The Mojo Men
Baby Come Home,Ruby And The Romantics
Wear Your Love Like Heaven,Donovan
Listen People,Herman's Hermits
A Woman Like You,Bert Jansch
Chove Chuva,Jorge Ben Jor
My Boomerang Won't Come Back,Charlie Drake
A Day In The Life Of A Fool,Jack Jones
Si un Dia Vols,Raimon
Dear John C.,Elvin Jones
I'm A Man,The Yardbirds
Lovey Dovey Kinda Lovin',Brenton Wood
...And Then There Were Drums,Sandy Nelson
Once Again (Outra Vez),Antônio Carlos Jobim
Rigoletto: Act II: Tutte le feste,Giuseppe Verdi
Es Mentira,Tito Puente
Let The Good Times Roll & Feel So Good,Bunny Sigler
Ingrato Amor,Vicente Fernández
Amen,Otis Redding
If I Didn't Love You,Chuck Jackson
"Summertime, Summertime",The Jamies
Bossa girotondo,Benedetto Ghiglia
My Balloon's Going Up,Archie Bell & The Drells
Rain,The Beatles
He's So Fine,The Chiffons
A Bailar Pachanga,Tito Puente
Only You Can Do It - Remastered,Françoise Hardy
Weihnachtslieder: Mater et filia,Traditional
Me Recordarás,Javier Solís
Yesterlove,Gerald Wilson Orchestra
Dedicated To The One I Love,The Mamas & The Papas
"Preludietto, fughetta e finalino 2",Ennio Morricone
Don't You Believe It,Andy Williams
Lady,Jack Jones
Godaari Gattundi,P. Susheela
Carmen Suite No. 1: Les Toréadors. Allegro giocoso (Introduction to Act I),National Philharmonic Orchestra
Main Title,Jerry Goldsmith
Eterna Navidad,La Sonora Matancera
Crazy Downtown,Allan Sherman
Where You're At,Ultimate Spinach
Unchained Melody,Vito & The Salutations
Ninna Nanna per Lisa,Maurice Jarre
"Serenade in G Major, K. 525 ""Eine kleine Nachtmusik"": II. Romance. Andante",Wolfgang Amadeus Mozart
How Many Teardrops,Lou Christie
Il Mercenario (L' Arena),Ennio Morricone
We Got A Thing That's In The Groove,The Capitols
Little Band Of Gold,James Gilreath
Glad To Be Unhappy,The Mamas & The Papas
Like A Rolling Stone,Bob Dylan
Away in a Manger - Remastered 1997,Traditional
L'eclisse 12,Giovanni Fusco
Day Tripper,The Beatles
Five Brothers,Marty Robbins
April In Paris,Elmer Bernstein
"Carmen: Act I - ""Draussen am Wall von Sevilla""",Leipzig Radio Symphony Orchestra
Angelica,Scott Walker
Mad Man Blues,Silver Apples
The Reporter,Alan Hawkshaw
I Can't Dance To That Music You're Playin',Martha Reeves & The Vandellas
Amore mio aiutami - Version 6,Piero Piccioni
Rajaavin Paarvai,P. Susheela
Weaver Of Dreams - Remastered 2003/Rudy Van Gelder Edition,Freddie Hubbard
"Pauvre Moi, Pauvre Moi (Poor Me, Poor Me)",Elmer Bernstein
The More I See You,Chris Montez
Échame a Mí la Culpa,Amalia Mendoza
Nachrichten aus Cannabistan,Amon Düül
Sue's Gotta Be Mine,Del Shannon
Mama Said,The Shirelles
Spanish Flea,Herb Alpert & The Tijuana Brass
Le tourbillon,Georges Delerue
Listen To The Band,The Monkees
Los decorados,Patxi Andion
Générique,André Hossein
Time,Pozo Seco Singers
"The Flying Dutchman, Act I: Overture",Staatskapelle Berlin
4 Dance Episodes from Rodeo: IV. Hoe Down,Aaron Copland
Cathy's Clown,The Everly Brothers
Rigoletto [Act I]: Pari siamo! (Rigoletto),Giuseppe Verdi
I'm Comin' On On Back To You,Jackie Wilson
Thank You Baby,The Shirelles
A Man And The Blues,Buddy Guy
Maria (Me Perdoa Maria),Gilberto Gil
If I Were A Carpenter,Bobby Darin
Somebody To Love,Jefferson Airplane
A Joan Miró - En Directe,Raimon
There's No Other (Like My Baby),The Crystals
Wonderful Summer,Robin Ward
Faded Love,Patsy Cline
"Carnival of the Animals, R. 125: The Elephant",Camille Saint-Saëns
Before And After,Chad & Jeremy
